order_time,order_instrument,order_price,order_side,order_trade_count
01/08/2017 05:20:19,AAPL,32,BUY,50
01/08/2017 05:20:20,AAPL,31,SELL,110
01/08/2017 05:20:21,AAPL,30,BUY,150
01/08/2017 05:20:31,AAPL,30,BUY,100
01/08/2017 05:20:30,AAPL,32.5,SELL,90
01/08/2017 05:20:32,AAPL,28.5,SELL,100
01/08/2017 06:20:29,IBM,53,BUY,50
01/08/2017 06:20:30,IBM,49,SELL,110
01/08/2017 06:20:31,IBM,48,SELL,150
01/08/2017 06:20:31,IBM,50,SELL,100
01/08/2017 06:20:31,IBM,50,BUY,90
01/08/2017 06:20:33,IBM,52,BUY,150
01/08/2017 07:20:29,Googl,101,BUY,50
01/08/2017 07:20:30,Googl,99,BUY,110
01/08/2017 07:20:31,Googl,99,SELL,150
01/08/2017 07:20:31,Googl,100,SELL,100
01/08/2017 07:20:31,Googl,100,BUY,90
01/08/2017 07:20:33,Googl,99,SELL,100
